"title","author","abstract","meta_raw","submission_date_text","submission_date","doi","announced_date_text","originally_announced"
"Delayed Wind Onset in Pa 30, the Remnant of Type Iax SN 1181","      
      Takatoshi Ko, 
      
      Ryosuke Hirai, 
      
      Taiga Sasaoka, 
      
      Toshikazu Shigeyama","Pa 30 is the recently identified remnant of the historical supernova SN 1181, likely a Type Iax event, and a nebula surrounding the central white dwarf launching a fast wind ($\sim10^9~\cm~\s^{-1}$) is observed in optical and infrared bands. X-ray observations show that this wind collides with the surrounding material and produces a termination shock, and the observed extent of the shock indicates that the wind started blowing centuries after 1181 A.D. rather than immediately after the SN explosion. We propose that the wind is triggered by delayed ignition of fallback carbon-rich material on the WD surface and investigate the conditions that reproduce such delayed ignition. We show that producing delays of several centuries requires a relatively hot post-explosion WD core with a temperature $T_c \simeq 6\times10^8~\mathrm{K}$. This supports the pure-deflagration progenitor scenario for Type Iax SN 1181, which implies the presence of a He star companion inside Pa~30; we also discuss why such a potential He star has not been detected and its prospects for discovery by future observations.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"Modelling the Milky Way's exoplanet population based on cosmological galaxy simulations","      
      Chloé Padois, 
      
      Daniel del Ser, 
      
      Friedrich Anders, 
      
      João A. S. Amarante, 
      
      Hélio D. Perottoni, 
      
      Thomas Hajnik, 
      
      Diogo Souto, 
      
      Nayara I. Feliciano-Souza, 
      
      Daisuke Kawata, 
      
      Eder Martioli","In this paper we aim to simulate realistic exoplanet populations across different regions of the MW by combining state-of-the-art cosmological simulations of our Galaxy with exoplanet formation models and observations. We model the exoplanet populations around single stars, using planet occurrence rates and multiplicity depending on stellar mass, metallicity, and planet type, and assign them physical parameters such as mass and orbital period. Focussing first on the solar vicinity, we find mostly metallicity-driven differences in the distributions of non-hosting and planet-hosting single stars. In our simulated solar neighbourhood, 52.5% of all planets are Earth-like (23% of them located in the Habitable Zone), 44% are super-Earths/Neptunes, and 3.5% are giant planets. A comparison with the census of Kepler exoplanets and candidates shows that, when taking into account the most relevant selection effects, we obtain a similar distribution of exoplanets compared to the observed population. However, we also detect significant differences in the exoplanet and host star distributions (e.g. more planets around F-type and red-giant stars compared to observations) that we attribute mostly to a too strong recent star formation and a too large disc scale height in the simulation, as well as to some caveats in our exoplanet population synthesis that will be addressed in future work. Extending our analysis to other regions of the simulated MW and to other simulated galaxies, we find that the relative percentages of planet types remain largely consistent as long as the simulated galaxy matches the morphology and mass of the MW. We have created a fast and flexible framework to produce exoplanet populations based on MW-like simulations that can easily be adapted to produce predictions for the yields of future exoplanet detection missions. (abridged)
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"Massive runaway star HD 254577: the pre-supernova binary companion to the progenitor of the supernova remnant IC 443","      
      B. Dinçel, 
      
      G. Paylı, 
      
      S. K. Yerli, 
      
      A. Ankay, 
      
      R. Neuhäuser, 
      
      M. Mugrauer, 
      
      S. Sheth, 
      
      S. Buder, 
      
      S. Hüttel, 
      
      F. Edelmann, 
      
      K-U. Michel, 
      
      J. Bätz","The secondaries of the massive binary systems can be found as runaway stars after being ejected due to the supernova (SN) of the more massive component. We search for such stars inside the supernova remnants (SNRs), where a recent SN is guaranteed to have happened. In this paper, we present the massive runaway star HD~254577 as the pre-supernova binary companion to the progenitor of the supernova remnant IC~443 and the neutron star (NS) CXOU~J61705.3$+$222127. We performed spectroscopic observations of the runaway star and specified its atmospheric parameters. Together with the precise \textit{Gaia} DR3 astrometry and photometry, we identified the possible birth origin of the runaway star, and by isochrone fitting, we determined the progenitor mass. From the \textit{Gaia} DR3 proper motions, we specified the possible explosion sites and calculated the neutron star (NS) velocity. HD~254577 is a hot and evolved star with an effective temperature of $24000\pm1000$ K (B0.5II) and a surface gravity of $\log({g~\rm[cm/s^2]})=2.75\pm0.25$. It is probably a single star with a peculiar 3-D velocity of $31.3^{+1.2}_{-0.9}$ km~s$^{-1}$, lying at a heliocentric distance of $1701^{+55}_{-54}$ pc. The cometary tail of the NS implies that it is moving away from the same site as the runaway star. From the flight trajectories, we calculated that the NS has typical pulsar velocities such as $254-539$ km~s$^{-1}$ at a distance of $1.7$ kpc for $10-20$ kyr ages. Together with the blue-only shifted interstellar medium lines on its spectrum, HD~254577 must be the pre-supernova binary companion to the progenitor of IC~443. By identifying the pre-supernova companion and the possible parent cluster, we showed that the progenitor zero-age main sequence mass is high: $31-64$ M$_\odot$. We also discuss the expansion dynamics of the SNR due to the highly off-centered explosion site.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"A search for transit timing variations in the transiting hot Jupiter systems HIP 65, NGTS-6, NGTS-10 and WASP-173","      
      A. W. Griffiths, 
      
      J. Southworth, 
      
      L. Alegre, 
      
      F. Amadio, 
      
      M. I. Andersen, 
      
      A. J. Barker, 
      
      M. Basilicata, 
      
      M. Bonavita, 
      
      V. Bozza, 
      
      M. J. Burgdorf, 
      
      R. E. Cannon, 
      
      G. Columba, 
      
      M. Dominik, 
      
      A. Donaldson, 
      
      R. Figuera Jaimes, 
      
      T. C. Hinse, 
      
      M. Hundertmark, 
      
      U. G. Jørgensen, 
      
      E. Khalouei, 
      
      P. Longa-Peña, 
      
      L. Mancini, 
      
      F. Manni, 
      
      B. Murphy, 
      
      N. Peixinho, 
      
      M. Rabus
      , et al. (8 additional authors not shown)","Hot Jupiters are Jupiter-mass planets with orbital periods of less than ten days. Their short orbital separations make tidal dissipation within the stellar host especially efficient, potentially leading to a measurable evolution of the orbit. One possible manifestation of this is orbital decay, which presents itself observationally through variations in the orbital period and thus times of transit. Here we select four promising exoplanetary systems for detecting this effect: HIP 65, NGTS-6, NGTS-10 and WASP-173. We present 33 new transit light curves taken with the 1.54 m Danish Telescope, and analyse these alongside photometric data from the Transiting Exoplanet Survey Satellite and transit timing data from the literature. We construct two ephemeris models for each target: a linear ephemeris and a shrinking orbital period due to tidal decay. The linear ephemeris is preferred for all four models - the highest significance for the quadratic ephemeris is 2 sigma for WASP-173. We compare these results to theoretical predictions for tidal dissipation of gravity waves in radiation zones, and find that wave breaking is predicted only in WASP-173, making rapid decay plausible in this system but unclear in the other three. The sensitivity of transit timings to orbital decay depends on the square of the time interval covered by available observations, so our results establish a useful baseline against which future measurements can be compared. NGTS-6 and NGTS-10 are important objects for future study as they are in the first field to be observed by the upcoming PLATO mission.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"The Role of Binary Configuration in Shaping Nova Evolution via Wind Accretion in Symbiotic Systems","      
      Irin Babu Vathachira, 
      
      Yael Hillman, 
      
      Amit Kashi","We investigate the impact of the Bondi--Hoyle--Lyttleton (BHL) accretion mechanism on the evolution of nova eruptions in symbiotic systems by systematically varying three key input parameters: the initial donor (asymptotic giant branch; AGB) mass, the initial white dwarf (WD) mass, and the initial binary separation ($a$). We explore models with AGB masses in the range $1.5$--$3.5\,{\rm M_{\odot}}$, WD masses in the range $0.7$--$1.25\,{\rm M_{\odot}}$, and separations in the range $1$--$8\,{\rm kR_{\odot}}$. We find that all models exhibit a significant long-term orbital increase. This trend is primarily driven by the fact that approximately $99\%$ of the AGB mass is lost from the system, either directly via a wind that is not accreted by the WD, or accreted onto the WD and subsequently ejected during nova eruptions. As a result, the secular orbital response to mass loss or mass transfer dominates over angular-momentum-loss sinks that could otherwise shrink the orbit, producing a consistent orbital widening. Consequently, all WD masses gradually decrease with time. More massive WDs achieve higher mass-transfer efficiencies and accretion rates, leading to slightly higher mass-retention efficiencies per nova. However, because higher accretion rates also produce more frequent eruptions, the total WD mass lost over the AGB lifetime is larger in these systems. We conclude that symbiotic systems transferring mass via the BHL mechanism are unlikely to be viable progenitors of Type Ia supernovae.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"Feedback and Star Formation Efficiency in High-Mass Star-Forming Regions","      
      Birka Zimmermann, 
      
      Stefanie Walch, 
      
      Seamus D. Clarke, 
      
      Richard Wünsch, 
      
      Andre Klepitko","To advance our understanding of massive star formation, it is essential to perform a comprehensive suite of simulations that explore the relevant parameter space and include enough physics to enable a comparison with observational data. We simulate the gravitational collapse of isolated, parsec-scale turbulent cores using the FLASH code, modelling stars as sink particles. Our simulations incorporate ionizing radiation and the associated radiation pressure from stellar sources, and non-ionizing radiation and its dust heating, along with self-consistent chemistry, to capture the properties of emerging ultra-compact HII regions. Dust, gas, and radiation temperature are computed independently. The initial conditions are informed by ALMAGAL observations. We assess stellar feedback, comparing ionizing radiation and radiation pressure. Ionizing radiation ultimately halts mass accretion on to sink particles, while direct radiation pressure enhances the expansion of HII regions. Heating from non-ionizing radiation suppresses fragmentation. We examine the effect of spatial resolution, finding that higher resolution leads to more sink particles which are situated in environments with higher densities. As a result, ionizing radiation remains trapped longer, allowing continued accretion and yielding a higher overall star formation efficiency (SFE). We explore the impact of varying initial conditions, including the core density profile, virial parameter, and metallicity. Our parameter study reveals that a flatter density profile, higher virial parameter, and increased metallicity promote fragmentation, potentially enhancing the SFE by slowing the growth of the most massive stars and delaying the onset of stellar feedback. Overall, we find SFEs between 35% and 57%. Stellar feedback dictates the final SFE.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"PyEMILI: A New Generation Computer-aided Spectral Line Identifier -- II. Emission-line Identification and Plasma Diagnostics of a Sample of Gaseous Nebulae","      
      Zhijun Tu, 
      
      Xuan Fang, 
      
      Jorge García-Rojas, 
      
      Robert Williams, 
      
      Jifeng Liu","In order to test the robustness and reliability of the new generation spectral-line identifier PyEMILI, as initially introduced in Paper I, in line identification and establish a reference/benchmark dataset for future spectroscopic studies, we run the code on the line lists of a selected sample of emission-line nebulae, including planetary nebulae (PNe), HII regions, and Herbig-Haro (HH) objects with deep high-dispersion spectroscopic observations published over the past two decades. The automated line identifications by PyEMILI demonstrate significant improvements in both completeness and accuracy compared to the previous manual identifications in the literature. Since our last report of PyEMILI, the atomic transition database used by the code has been further expanded by cross-matching the Kurucz Line Lists. Moreover, to aid the PyEMILI identification of numerous faint optical recombination lines (ORLs) of CII, NII, OII and NeII, we compiled a new dataset of effective recombination coefficients for these nebular lines, and created a new subroutine in the code to generate theoretical spectra of heavy-element ORLs at various electron temperature and density cases; these theoretical spectra can be used to fit the observed recombination spectrum of a PN to obtain the electron temperature, density and ionic abundances using the Markov-Chain Monte Carlo (MCMC) method. We present MCMC-derived parameters for a sample of PNe. This work establishes PyEMILI as a robust and versatile tool for both line identification and plasma diagnostics in deep spectroscopy of gaseous nebulae.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"The Formation of Solar Prominences: Plasma Origin and Mechanisms","      
      Yuhao Zhou","Solar prominences, or solar filaments, are cool and dense plasma structures in the hot solar corona, whose formation mechanisms have remained a fundamental challenge in solar physics. This review provides a comprehensive overview of the current theoretical, numerical, and observational understanding of prominence formation, with a focus on the origin of the dense plasma component. We begin by summarizing the magnetic field configurations that enable prominence support, followed by a classification of four representative plasma formation mechanisms: injection, levitation, evaporation--condensation, and in-situ condensation. Each mechanism is analyzed in terms of its physical basis, numerical realizations, and observational diagnostics. A central focus is placed on the evaporation--condensation scenario, which has seen significant development over the past decade through numerical simulations. We also discuss recent progress in modeling in-situ condensation triggered by magnetic reconnection and levitation dynamics. Throughout, we emphasize the complementary nature of different mechanisms and their potential coexistence in forming and maintaining prominence mass. Observational constraints and recent high-resolution data are reviewed to assess the physical plausibility of each mechanism. We conclude by highlighting open questions and future directions in connecting multi-scale physical processes to the observed diversity of prominence behaviors.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"Phase-Resolved Spectroscopy of the Polar V379 Vir with a Brown Dwarf","      
      M. V. Suslikov, 
      
      A. I. Kolbin, 
      
      N. V. Borisov","The polar V379 Vir is a well-known magnetic cataclysmic variable with a brown dwarf donor. Despite numerous studies of this system across various spectral ranges, a detailed investigation of the orbital variability of its optical spectra has not been carried out. In this work, we present an analysis of spectroscopic observations of V379 Vir obtained with the 6-m telescope of the Special Astrophysical Observatory of the Russian Academy of Sciences. The orbital variability of the H$α$ emission indicates that the line is most likely formed in the accretion stream near the Lagrangian point L$_1$, rather than on the donor's surface as previously assumed. The analysis of the rotational variability of the Zeeman splitting of hydrogen lines reveals a complex magnetic field topology of the white dwarf, which differs from a simple dipole configuration.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"On the center-to-limb variations of the He I 10 830 Å triplet","      
      A. G. M. Pietrow, 
      
      C. Kuckein, 
      
      M. Verma, 
      
      C. Denker, 
      
      J. C. Trelles Arjona, 
      
      R. Kamlah, 
      
      K. Poppenhäger","We present high-resolution spectroscopic observations of the quiet-Sun center-to-limb variations (CLV) of the He I triplet at 10 830 Å and the nearby Si I 10 827 Å line, observed with GREGOR Infrared Spectrograph (GRIS) and the improved High-resolution Fast Imager (HiFI+). The observations cover the interval $μ= [0.1,\, 1.0]$, where $μ$ is the cosine of the heliocentric angle. At each $μ$-position, the spectra are spatially averaged over 0.02 $μ$, and the resulting CLVs are given both as these averaged data points and as smooth polynomial curves fitted across each wavelength point. The He I spectra were inverted using the HAnle and ZEeman Light (HAZEL) code, showing an increase in optical depth towards the limb and a reversed convective blueshift for the red component, while the blue component was entirely absent. In addition, we find a strong increase in the steepness of the He I CLV compared to that of the nearby continuum. The Si I showed a behavior more typical of photospheric lines, namely shallower CLV, a reduction in width and depth, and a more typical convective blueshift.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"Solar carbon abundance from 3D non-LTE modelling of the diagnostic lines of the CH molecule","      
      Richard Hoppe, 
      
      Maria Bergemann, 
      
      Philipp Eitner, 
      
      Momo Ellwarth, 
      
      Åke Nordlund, 
      
      Jorrit Leenaarts, 
      
      Bertrand Plez, 
      
      Aldo Serenelli","Context. The spectral lines of the CH molecule are a key carbon (C) abundance diagnostic in FGKM-type stars. These lines are detectable in metal-rich and, in contrast to atomic C lines, also in metal-poor late-type stars. However, only 3D LTE analyses of the CH lines have been performed so far.
  Aims. We test the formation of CH lines in the solar spectrum, using for the first time, 3D Non-LTE (NLTE) models. We also aim to derive the solar photospheric abundance of C, using the diagnostic transitions in the optical (4218 - 4356 Å) and infrared (33025 - 37944 Å).
  Methods. We use the updated NLTE model molecule from Popa et al. (2023) and different solar 3D radiation-hydrodynamics model atmospheres. The models are contrasted against new spatially-resolved optical solar spectra, and the center-to-limb variation (CLV) of CH lines is studied.
  Results. The 1D LTE and 1D NLTE models fail to describe the line CLV, and lead to underestimated solar C abundances. The 3D NLTE modelling of diagnostic lines in the optical and IR yields a carbon abundance of A(C)=$8.52\pm0.07$ dex. The estimate is in agreement with recent results based on neutrino fluxes measured by Borexino.
  Conclusions. 3D NLTE modelling and tests on spatially-resolved solar data are essential to derive robust solar abundances. The analysis presented here focuses on CH, but we expect that similar effects will be present for other molecules of astrophysical interest.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"MHD waves with mixed properties / Alfvén waves with pressure variations: a review","      
      Marcel Goossens, 
      
      Iñigo Arregui, 
      
      Roberto Soler, 
      
      Jaume Terradas, 
      
      Tom Van Doorsselaere","Non-uniformity plays an important role for MHD waves. For a uniform plasma of infinite extent the MHD waves can be subdivided in two classes with distinct properties. The first class contains the Alfvén waves. The Alfvén waves are incompressible and propagate parallel vorticity. They do not have a parallel component of displacement, they do not cause variations in pressure and are driven by magnetic tension only. The second class contains the magneto-sonic waves. They are compressible and have a parallel component of displacement. They do not propagate parallel vorticity and are driven by pressure and magnetic tension. In non-uniform plasmas the situation can be very different. The clear division between Alfvén waves and magneto-sonic waves is no longer present. In a given part of the equilibrium an MHD wave can strongly resemble a magneto-sonic wave with little or no resemblance to Alfvén waves; while in another part of the equilibrium the MHD wave is practically an Alfvén wave, which has the amazing property of being accompanied by variations in pressure.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"Newborn jet in the symbiotic system R Aquarii","      
      T. Liimets, 
      
      D. P. K. Banerjee, 
      
      M. Santander-García, 
      
      J. Alcolea, 
      
      S. B. Howell, 
      
      U. Munari, 
      
      B. Deshev, 
      
      C. E. Woodward, 
      
      A. Evans, 
      
      E. Furlan, 
      
      T. Geballe, 
      
      R. D. Gehrz, 
      
      V. Joshi, 
      
      N. Scott, 
      
      S. Starrfield","R Aquarii (R Aqr) is a well-known symbiotic binary that has attracted renewed interest during its recent periastron passage, an event that occurs only once every about 40 years. This passage marks the first to be observed with modern, state-of-the-art instruments. We investigate the inner, sub-arcsecond active region of R Aqr during this recent periastron passage, with the goal of gaining insight into the jet-launching mechanisms at work in this system. We analyse Ha speckle interferometric images obtained one month apart using Fourier techniques. These are complemented by high-resolution optical spectra in the same emission line. Our speckle imaging reveals a newborn two-sided jet orientated in the north-south direction. Its proper motion, 66 +- 19 mas per year, confirms that it was launched around 2020 Jan 7, at the onset of the periastron passage. Further analysis of the elongated central structure reveals a knot in the southern counterpart of the jet, moving away from the binary with a 27 +- 17 mas per year at a position angle of 187 degrees, and an ejection time around 2019 Oct 28. This interpretation is further supported by our high-resolution spectroscopic data. In addition, we update the expansion parallax distance of R Aqr to 260 pc.
        △ Less","Submitted 18 November, 2025; 
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"SN 2016iog: A fast declining Type II-L supernova with an ultra-faint tail, persistently interacting with circumstellar material","      
      Z. -H. Peng, 
      
      S. Benetti, 
      
      Y. -Z. Cai, 
      
      A. Pastorello, 
      
      G. Valerin, 
      
      A. Reguitti, 
      
      A. Fiore, 
      
      Q. -L. Fang, 
      
      Z. -Y. Wang, 
      
      M. Berton, 
      
      L. Borsato, 
      
      E. Cappellaro, 
      
      E. Congiu, 
      
      N. Elias-Rosa, 
      
      V. Granata, 
      
      J. Isern, 
      
      G. La Mura, 
      
      P. Ochner, 
      
      R. Raddi, 
      
      G. Terreran, 
      
      L. Tomasella, 
      
      M. Turatto, 
      
      S. -Y. Yan, 
      
      S. -P. Pei, 
      
      C. -Y. Wu
      , et al. (4 additional authors not shown)","We present optical photometric and spectroscopic observations of the rapidly declining Type IIL supernova (SN) 2016iog. SN 2016iog reached its peak $\sim$ 14 days after explosion, with an absolute magnitude in the $V$ band of $-18.64 \pm 0.15$ mag, followed by a steep decline of $8.85 \pm 0.15$~mag~(100\,d)$^{-1}$ post-peak. Such a high decline rate makes SN~2016iog one of the fastest declining Type~IIL SNe observed to date. The rapid rise in the light curve, combined with the nearly featureless continuum observed in the spectrum at +9.3 days, suggests the presence of interaction. In the recombination phase, we observed broad H$α$ lines that persist at all epochs. In addition, the prominent double-peaked H$α$ feature observed in the late-time spectrum (+190.8 days) is likely attributable either to significant dust formation within a cool dense shell or to asymmetric circumstellar material. These features suggest the presence of sustained interaction around SN~2016iog. We propose that the observed characteristics of SN~2016iog can be qualitatively explained by assuming a low-mass H-rich envelope surrounding a red supergiant progenitor star with low-density circumstellar material.
        △ Less","Submitted 18 November, 2025; v1 submitted 16 November, 2025;
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"Doppler imaging combined with high-cadence photometry. I. Revisiting the surface of a pre-main-sequence flare star","      
      Sanghee Lee, 
      
      Engin Bahar, 
      
      Hakan Volkan Şenavcı, 
      
      Emre Işık, 
      
      Kai Ikuta, 
      
      Kosuke Namekata, 
      
      Haruhi Nagata, 
      
      Kiyoe Kawauchi, 
      
      Masashi Omiya, 
      
      Hideyuki Izumiura, 
      
      Akito Tajitsu, 
      
      Bun'ei Sato, 
      
      Satoshi Honda, 
      
      Daisaku Nogami","Latitude distribution of stellar magnetic activity is not well constrained by observations, despite its importance for a better understanding of stellar dynamos. We aim to obtain an accurate reconstruction of the surface spot distribution on the young, rapidly rotating K2 star PW And by combining spectroscopic and photometric diagnostics. In particular, we seek to assess how the inclusion of continuous high-precision TESS photometry in parallel with high-resolution spectroscopy improves latitude recovery of starspots, especially at low latitudes and in the southern hemisphere, which are poorly constrained by Doppler imaging (DI) alone. We explore the spatial origins of the observed white-light flares. We performed simultaneous Doppler imaging and light curve inversion (DI+LCI) using contemporaneous high-resolution GAOES-RV spectra from the 3.8 m Seimei telescope (R~65000) and high-precision TESS light curves. Surface reconstructions employ the SpotDIPy code to model both line profiles and continuum brightness variations. We compare DI+LCI maps with DI-only solutions, conduct artificial-spot simulations to evaluate the effects of latitude, phase coverage, and S/N on reconstruction reliability. We also investigate the spatial correlation between the DI+LCI reconstructed map and flares detected in the TESS data. The DI+LCI reconstruction reveals significant spot features at mid-to-low latitudes, equatorial regions, and even in the southern hemisphere. Simulations show that DI+LCI provides more accurate reconstructions than DI-only, especially under conditions of incomplete phase coverage and low S/N, by better recovering both spot latitudes and filling factors. A comparison between the DI+LCI map and the TESS flare timings also suggests potential association between flare occurrence and reconstructed spot longitudes.
        △ Less","Submitted 18 November, 2025; v1 submitted 15 November, 2025;
      originally announced November 2025.","18 November, 2025",2025-11-18,NA,"November 2025",2025-11-01
"No Pulsar Detected in Reprocessed Archival Parkes Observations of SNR 1987A","      
      Fronefield Crawford, 
      
      Haoyang Xu","We have reprocessed the available archival radio pulsar search observations of SNR 1987A taken with the Parkes 64-m telescope, some of which have not been previously published. We conducted a standard periodicity search on these data as well as a single pulse search at a range of dispersion measures. We found no convincing candidate signals, and we calculate flux density, luminosity, and single pulse fluence limits from these observations. The derived luminosity limits are comparable to the luminosities of three young, energetic pulsars (the Crab pulsar, PSR B0540$-$69, and PSR J0537$-$6910), and so we cannot rule out the existence of a pulsar in SNR 1987A with a similar radio luminosity.
        △ Less","Submitted 19 November, 2025; 
      originally announced November 2025.","19 November, 2025",2025-11-19,NA,"November 2025",2025-11-01
"Formation of Extremely Low-Mass White Dwarfs in Wide Orbits","      
      Yangyang Zhang, 
      
      Zhenwei Li, 
      
      Xuefei Chen","Helium white dwarfs (WDs) with masses less than 0.3 $\rm M_{\sun}$ are known as extremely low-mass WDs (ELM WDs), which cannot be produced by single stellar evolution in theory. Generally, these stars are believed to form through binary interactions. Recently, two ELM WDs in unusually wide orbits were reported, i.e., KIC 8145411 and HE 0430-2457. Their orbital separations are too wide to be produced by the binary evolution scenario. In this work, we study the formation of wide-orbit ELM WD binaries from hierarchical triple systems. In this scenario, an ELM WD is formed from the inner binary and subsequently forms a wide binary system with the third object. We find that the merger of an evolved star with a brown dwarf in the inner binary fails to produce single ELM WDs, but Type Ia supernovae (SNe Ia) explosions can successfully do so. Furthermore, we investigate the impact of the supernova explosion on the orbital distribution of the surviving binary and find that this channel may have a probability of reproducing the orbital parameters of HE 0430-2457, but fails to reproduce the observed features of KIC 8145411. This supports recent observational recalibrations suggesting that KIC 8145411 resides in a triple system rather than a binary.
        △ Less","Submitted 19 November, 2025; 
      originally announced November 2025.","19 November, 2025",2025-11-19,NA,"November 2025",2025-11-01
"Solar Filament Physiognomy: Inferring Magnetic Quantities from Imaging Observations","      
      P. F. Chen","Magnetic field is the key physical quantity in solar physics as it controls all kinds of solar activity, ranging from nanoflares to big flares and coronal mass ejections (CMEs). However, so far only the magnetic field on the solar surface can be more or less precisely measured, and the most important coronal magnetic field remains undetectable accurately. Without the knowledge of the coronal magnetic field, it is even more difficult to obtain secondary quantities related to magnetic field, such as the magnetic helicity and magnetic configuration, including the curvature of field lines. The prevailing approaches to obtain the coronal magnetic field include coronal magnetic extrapolation and coronal seismology. Actually there were scattered efforts to derive secondary magnetic quantities based on imaging observations of solar filaments, without the help of polarization measurements. We call this approach solar filament physiognomy. In this paper, we review these efforts made in the past decades, and point out that this approach will be promising as large telescopes are being built and more fine structures of filament channels will be revealed.
        △ Less","Submitted 19 November, 2025; 
      originally announced November 2025.","19 November, 2025",2025-11-19,NA,"November 2025",2025-11-01
"Post-Supernova Accretion of Light Elements onto a New-Born Neutron Star and NS 1987A","      
      Natalia de Jesús Baz-Pérez, 
      
      Dany Page, 
      
      Simon Guichandut, 
      
      Martin Nava-Callejas, 
      
      Yuri Cavecchi, 
      
      Andrew Cumming","We model early accretion of light elements, He, C, and O, onto a new-born neutron star using the public stellar evolution code MESA, simulating what may happen during the first few years of its life. We find that, under the appropriate conditions, significant amounts of these elements can be accreted up to densities of 10^9 g/cc without triggering a nuclear explosion that would convert them into heavy elements. These results help to understand observations that favor light elements in the atmospheres of young cooling neutron stars, as the one found in the supernova remnant Cassiopeia A, and also add support to the recent indications for the presence of a neutron star, NS 1987A, in the remnant of SN 1987A.
        △ Less","Submitted 19 November, 2025; 
      originally announced November 2025.","19 November, 2025",2025-11-19,NA,"November 2025",2025-11-01
"The JWST weather report from the nearest brown dwarfs III: Heterogeneous clouds and Thermochemical instabilities as possible drivers of WISE 1049AB's spectroscopic variability","      
      Natalia Oliveros-Gomez, 
      
      Elena Manjavacas, 
      
      Theodora Karalidi, 
      
      Myrla Phillippe, 
      
      Beatriz Campos Estrada, 
      
      Beth Biller, 
      
      Johanna M. Vos, 
      
      Jacqueline Faherty, 
      
      Xueqing Chen, 
      
      Trent J. Dupuy, 
      
      Thomas Henning, 
      
      Allison M. McCarthy, 
      
      Philip S. Muirhead, 
      
      Elspeth K. H. Lee, 
      
      Pascal Tremblin, 
      
      Jasmine Ramirez, 
      
      Genaro Suarez, 
      
      Ben J. Sutlieff, 
      
      Xianyu Tan, 
      
      Nicolas Crouzet","We present a new analysis of the spectroscopic variability of WISE~J104915.57$-$531906.1AB (WISE~1049AB, L7.5+T0.5), observed using the NIRSpec instrument onboard the James Webb Space Telescope (GO 2965 - PI: Biller). We explored the variability of the dominant molecular bands present in their 0.6--5.3~$μ$m spectra (H$_2$O, CH$_4$, CO), finding that the B component exhibits a higher maximum deviation than the A component in all the wavelength ranges tested. The light curves reveal wavelength-(atmospheric depth) and possibly chemistry-dependent variability. In particular, for the A component, the variability in the light curves at the wavelengths traced by the CH$_4$ and CO molecular absorption features is higher than that of H$_2$O, even when both trace similar pressure levels. We concluded that clouds alone are unlikely to explain the increased variability of CO and CH$_4$ with respect to H$_2$O, suggesting that an additional physical mechanism is needed to explain the observed variability. This mechanism is probably due to thermochemical instabilities. Finally, we provide a visual representation of the 3D atmospheric map reconstructed for both components using the molecular band contributions at different pressure levels and the fit of planetary-scale waves.
        △ Less","Submitted 19 November, 2025; 
      originally announced November 2025.","19 November, 2025",2025-11-19,NA,"November 2025",2025-11-01
